Frame,mixamorig:LeftHand,mixamorig:RightHand,mixamorig:Head
518,0.3305125,0.4211241,0.444829
519,0.2957443,0.4343157,0.4551794
520,0.2690566,0.4605231,0.4608318
521,0.273561,0.4640844,0.4644097
522,0.2644534,0.474844,0.4654467
523,0.2731605,0.4517145,0.4577941
524,0.2853225,0.4172165,0.456649
525,0.263482,0.4149523,0.4562552
526,0.2484763,0.4466588,0.4601809
527,0.1944623,0.4606493,0.4596743
528,0.1556866,0.4714514,0.455845
529,0.1659218,0.4670496,0.4455238
530,0.1736597,0.4670289,0.4415081
531,0.184093,0.4644158,0.4441735
532,0.1849638,0.4606389,0.448607
533,0.1947797,0.4728577,0.4590986
534,0.2124179,0.4934551,0.4675989
535,0.2435253,0.5217624,0.4670945
536,0.2943909,0.5519888,0.4620703
537,0.308661,0.5430806,0.456212
538,0.2947753,0.5246791,0.4574388
539,0.269296,0.5294627,0.4547676
540,0.2547412,0.5381247,0.458956
541,0.3075145,0.5413162,0.4559445
542,0.3589049,0.5459926,0.4490726
543,0.4023423,0.5297536,0.447716
544,0.4399526,0.5074675,0.4479585
545,0.4413584,0.5050782,0.448188
546,0.431332,0.5185054,0.4478567
547,0.4120555,0.5519703,0.4534206
548,0.4103144,0.6043388,0.4589143
549,0.4166555,0.6316448,0.4590041
550,0.4087832,0.6319794,0.4579682
551,0.4175109,0.6343293,0.4594253
552,0.4291502,0.639346,0.4647287
553,0.4240875,0.6301568,0.4670913
554,0.411489,0.6166677,0.4676839
555,0.4476239,0.597441,0.4716142
556,0.5046769,0.5886428,0.4812697
557,0.5278788,0.5861837,0.4870251
558,0.5170752,0.5709946,0.4908008
559,0.5282907,0.5819652,0.4997953
560,0.5504912,0.5916731,0.5062418
561,0.5634976,0.5719249,0.5105452
562,0.580484,0.5497535,0.5119376
563,0.5890139,0.5615057,0.5183629
564,0.5868061,0.5953995,0.529467
565,0.5752881,0.5971824,0.5325189
566,0.5714653,0.5902627,0.5371987
567,0.5624378,0.5673497,0.5411764
568,0.5497423,0.5355586,0.54846
569,0.5386015,0.5064842,0.5534799
570,0.5317178,0.4968069,0.5508988
571,0.5443008,0.5015395,0.552829
572,0.5639418,0.5093213,0.5579495
573,0.5824669,0.4865367,0.5654601
574,0.6155584,0.4482229,0.5730098
575,0.607365,0.4494117,0.5800053
576,0.5813746,0.4734508,0.5897599
577,0.5584885,0.4994757,0.5943679
578,0.5471832,0.5172206,0.5994364
579,0.5537367,0.4739193,0.6023784
580,0.575771,0.4146468,0.6031154
581,0.5963138,0.4086251,0.6070514
582,0.6076678,0.4186512,0.6157815
583,0.6441854,0.4563858,0.6218956
584,0.7126206,0.5238445,0.6218145
585,0.7052507,0.5849041,0.6261193
586,0.6709029,0.6129996,0.6296908
587,0.6932886,0.5653816,0.6284761
588,0.7363929,0.4883328,0.6251406
589,0.7589931,0.4561414,0.623669
590,0.7596442,0.4374987,0.622241
591,0.7810138,0.4429579,0.6262766
592,0.8194736,0.4674425,0.6341489
593,0.8316259,0.4978718,0.6363641
594,0.8290284,0.5279639,0.6394956
595,0.8287732,0.5629907,0.6360586
596,0.8407175,0.59155,0.6310238
597,0.832817,0.587423,0.6322474
598,0.814199,0.5921974,0.6358586
599,0.8042088,0.6090035,0.6398576
600,0.7846184,0.6016967,0.645988
601,0.7809704,0.6007125,0.6473295
602,0.7767823,0.6128064,0.6449679
